"GC" "CUB" "rna_bLength" "gSize" "IGRlength" "IGRpercentage" "pseudoFrac" "cDensity" "directionGC" "endoSymb_status" "CUB_log2" "rna_bLength_log2" "gSize_log2" "pseudoFrac_log2"
"Rhizobiale_jump18" -3.19 1.1734693877551 1.66666666666667 1.04 5 5 0.616666666666667 -1 -1 0 0.230780206829167 0.736965594166206 0.0565835283663675 -0.697437229979569
"Rhizobiale_jump19" -19.26 0.0512820512820513 1 0.38 49 51 4.42105263157895 -11.31 -1 1 -4.28540221886225 0 -1.39592867633114 2.14438990933518
"Rhizobiale_jump20" 6.17 0.666666666666667 0.8125 1.07 8 6 0.456521739130435 1 1 0 -0.584962500721156 -0.299560281858908 0.0976107966264223 -1.13124453327825
"Rhizobiale_jump21" 3.46 0.564516129032258 0.8 1.05 8 9 0.123287671232877 0 1 0 -0.824913293441909 -0.321928094887362 0.070389327891398 -3.0198995574377
"Rhizobiale_jump22" 4.19 1.23684210526316 NA 1.15 -10 -10 16.2352941176471 -5 1 0 0.306661338234052 NA 0.20163386116965 4.02106161552783
"Rhizobiale_jump23" -4.47 1.33333333333333 1 1.19 7 7 0.625 0 -1 0 0.415037499278844 0 0.250961573533219 -0.678071905112638
"Rhodobacterale_jump1" -7.32000000000001 NA 1.25 0.93 NA NA NA 1 -1 0 NA 0.321928094887362 -0.104697378666693 NA
"Rhodobacterale_jump2" -12.81 0.869565217391304 1.4 0.91 -9 -11 1.14285714285714 2 -1 0 -0.20163386116965 0.485426827170242 -0.136061549576028 0.192645077942396
"Rhodobacterale_jump3" -7.71 1.42222222222222 1.25 0.98 -2 -2 1.71428571428571 -2 -1 0 0.508146903670325 0.321928094887362 -0.0291463456595165 0.777607578663552
"Rhodobacterale_jump4" -7.62 1.12871287128713 2 1.33 31 39 0.647058823529412 -1.73 -1 0 0.174678531412947 1 0.411426245726465 -0.628031222613042
"Rhodobacterale_jump5" -10.95 NA NA 0.89 NA NA NA 3 -1 0 NA NA -0.168122758808327 NA
"Rhodobacterale_jump6" -14.68 NA NA 0.82 NA NA NA 1 -1 0 NA NA -0.286304185156641 NA
"Rhodobacterale_jump7" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
"Rhodobacterale_jump8" -11.33 1.32894736842105 1 0.86 -5 -5 0.875 -2.25999999999999 -1 0 0.410283969308209 0 -0.217591435072627 -0.192645077942396
"Rhodobacterale_jump9" -11.31 0.910891089108911 NA 0.94 NA NA 0.321428571428571 1 -1 0 -0.134649526694782 NA -0.0892673380970874 -1.63742992061529
"Rhodobacterale_jump10" -6.61000000000001 1.13913043478261 3.0952380952381 1.09 11 12 1.73333333333333 0 -1 0 0.187932950593075 1.63005039024969 0.124328135002202 0.793549122532574
"Rhodobacterale_jump11" -4.19 1.22077922077922 NA 0.79 -8 -10 0.553571428571429 1 -1 0 0.287802310982736 NA -0.340075441597622 -0.853158611670729
"Rhodobacterale_jump12" -8.14 0.75 0.140625 0.83 -19 -22 3.734375 0 -1 0 -0.415037499278844 -2.83007499855769 -0.2688167584278 1.90086680798075
"Rhodobacterale_jump13" -6.65000000000001 1.63855421686747 0.473684210526316 0.96 -7 -8 0.521739130434783 2 -1 0 0.712423409903415 -1.07800251200127 -0.0588936890535686 -0.938599455335857
"Rhodobacterale_jump14" -5.14 1.5 1.25 1.02 -4 -4 1.22727272727273 0.0300000000000011 -1 0 0.584962500721156 0.321928094887362 0.0285691521967709 0.295455883526171
"Rhodobacterale_jump15" 4.41999999999999 0.666666666666667 1.05 1.18 -6 -6 1.04166666666667 0 1 0 -0.584962500721156 0.070389327891398 0.238786859587116 0.0588936890535686
"Rhodobacterale_jump16" -9.37 NA NA 1.51 NA NA NA -3 -1 0 NA NA 0.594548549550354 NA
"Rhodobacterale_jump17" -5.49 NA NA 0.82 NA NA NA -9 -1 0 NA NA -0.286304185156641 NA
"Rhodobacterale_jump18" 12.7 0.533333333333333 NA 0.89 -10 -11 NA 3 1 0 -0.906890595608518 NA -0.168122758808327 NA
"Rhodobacterale_jump19" 13.3 0.747663551401869 1.01587301587302 1.11 8 10 1.92307692307692 -2 1 0 -0.419538891513785 0.0227200765000834 0.150559676575381 0.943416471633632
"Rhodobacterale_jump20" -9.8 NA NA 0.93 NA NA NA 4 -1 0 NA NA -0.104697378666693 NA
"Rhodobacterale_jump21" -10.16 NA NA 0.64 NA NA NA 0 -1 0 NA NA -0.643856189774725 NA
"Rhodobacterale_jump22" -7.26000000000001 0.842105263157895 1.33333333333333 0.96 -16 -15 NA 0 -1 0 -0.247927513443586 0.415037499278844 -0.0588936890535686 NA
"Rhodobacterale_jump23" -6.21 0.950413223140496 6.25 1.28 6 8 0.542857142857143 0 -1 0 -0.0733731863302194 2.64385618977472 0.356143810225275 -0.881355503501381
"Rhodobacterale_jump24" 6.46999999999999 NA NA 0.87 NA NA NA -3 1 0 NA NA -0.200912693925996 NA
"Rhodobacterale_jump25" 4.03 0.726415094339623 1.4 1.05 -1 -1 0.916666666666667 0.0600000000000023 1 0 -0.461133913868298 0.485426827170242 0.070389327891398 -0.125530882083859
"Rhodobacterale_jump26" -5.53 NA NA 0.82 NA NA NA -4 -1 0 NA NA -0.286304185156641 NA
"Rhodobacterale_jump27" 8.41 NA NA 0.83 -2 -2 NA 1 1 0 NA NA -0.2688167584278 NA
"Alpha1_jump1" -17.16 NA NA 0.58 NA NA NA -2 -1 0 NA NA -0.785875194647153 NA
"Alpha1_jump2" -12.86 NA NA 1.07 NA NA NA -7 -1 0 NA NA 0.0976107966264223 NA
"Alpha1_jump3" -17.21 NA NA 0.87 NA NA NA 2 -1 0 NA NA -0.200912693925996 NA
"Alpha1_jump4" 17.37 NA NA 0.74 NA NA NA 0 1 0 NA NA -0.434402824145775 NA
"Alpha1_jump5" -19.23 NA NA 0.95 NA NA NA -5 -1 0 NA NA -0.0740005814437769 NA
"Alpha1_jump6" -33.08 0.111111111111111 21.3333333333333 0.36 128 104 2.07692307692308 -33 -1 1 -3.16992500144231 4.41503749927884 -1.47393118833241 1.05444778402238
"Alpha1_jump7" -21.27 1.05194805194805 2.25 0.7 -13 -14 0.377358490566038 0.940000000000012 -1 0 0.0730634621897234 1.16992500144231 -0.514573172829758 -1.40599235967584
"Bacteroidale_jump1" 23.97 NA NA 0.98 NA NA NA 4 1 0 NA NA -0.0291463456595165 NA
"Bacteroidale_jump2" 13.34 NA NA 0.6 NA NA NA -3 1 0 NA NA -0.736965594166206 NA
"Bacteroidale_jump3" 9.75 0.586666666666667 8.45454545454546 0.94 -8 -6 0.472727272727273 2 1 0 -0.769387071858584 3.07972719247073 -0.0892673380970874 -1.08091999538357
"Cytophagale_jump1" -9.56 2.17857142857143 1.05813953488372 1.01 -20 -14 0.916666666666667 0 -1 0 1.12338241550528 0.0815298854965985 0.0143552929770701 -0.125530882083859
"Cytophagale_jump2" 14.32 0.7578125 NA 1.43 -31 -25 0.777777777777778 1 1 0 -0.400087157812872 NA 0.516015147003665 -0.362570079384708
"Flavobacteriale_jump1" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
"Flavobacteriale_jump2" -3.23 NA NA 1.12 NA NA NA -1 -1 0 NA NA 0.16349873228288 NA
"Flavobacteriale_jump3" 4.44 NA 0.666666666666667 1.02 NA NA NA 4 1 0 NA -0.584962500721156 0.0285691521967709 NA
"Flavobacteriale_jump4" 6.66 NA 0.555555555555556 0.95 NA NA NA -1 1 0 NA -0.84799690655495 -0.0740005814437769 NA
"Flavobacteriale_jump5" -4.68 NA NA 0.61 NA NA NA -2 -1 0 NA NA -0.713118852211838 NA
"Flavobacteriale_jump6" 10.73 NA NA 0.71 NA NA NA 1.92 1 0 NA NA -0.494109070270043 NA
"Flavobacteriale_jump7" 9.81 NA NA 1.78 NA NA NA -0.72999999999999 1 0 NA NA 0.831877241191673 NA
"Flavobacteriale_jump8" 6.23999999999999 NA NA 0.96 NA NA NA -5 1 0 NA NA -0.0588936890535686 NA
"Flavobacteriale_jump9" 4.7 NA NA 1.43 NA NA NA -7.66 1 0 NA NA 0.516015147003665 NA
"Flavobacteriale_jump10" 5.95 NA NA 1.12 NA NA NA 0 1 0 NA NA 0.16349873228288 NA
"Flavobacteriale_jump11" 7.37 NA NA 1.01 NA NA NA 0 1 0 NA NA 0.0143552929770701 NA
"Flavobacteriale_jump12" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
"Flavobacteriale_jump13" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
"Flavobacteriale_jump14" -7.03 NA NA 0.97 NA NA NA 0 -1 0 NA NA -0.0439433475875971 NA
"Flavobacteriale_jump15" -11.9 NA NA 1.15 NA NA NA -5.41 -1 0 NA NA 0.20163386116965 NA
"Flavobacteriale_jump16" 9.39 NA NA 1.84 NA NA NA -1 1 0 NA NA 0.879705766282288 NA
"Flavobacteriale_jump17" 7.04 NA NA 0.81 NA NA NA 2 1 0 NA NA -0.3040061868901 NA
"Flavobacteriale_jump18" -3.33 NA NA 0.98 NA NA NA -7 -1 0 NA NA -0.0291463456595165 NA
"Flavobacteriale_jump19" 9.17 0.0645161290322581 NA 0.94 NA NA 39.5714285714286 3 1 0 -3.95419631038688 NA -0.0892673380970874 5.30638724399158
"Flavobacteriale_jump20" -5.66 NA NA 0.98 NA NA NA 4 -1 0 NA NA -0.0291463456595165 NA
"Flavobacteriale_jump21" 21.81 NA NA 0.51 NA NA NA -0.410000000000011 1 0 NA NA -0.971430847803229 NA
"Flavobacteriale_jump22" -5.24 1.61111111111111 0.523809523809524 0.78 13 21 0.2 2.75 -1 0 0.68805599368526 -0.932885804141463 -0.358453970912476 -2.32192809488736
"Flavobacteriale_jump25" -5.96 0.40952380952381 0.625 0.55 10 12 1.1 -1.98999999999999 -1 0 -1.28798076296402 -0.678071905112638 -0.862496476250065 0.137503523749935
"Flavobacteriale_jump26" 5.84 NA NA 0.65 NA NA NA 1.87 1 0 NA NA -0.62148837674627 NA
"Flavobacteriale_jump27" 2.99 NA NA 0.84 NA NA NA -1 1 0 NA NA -0.251538766995965 NA
"Flavobacteriale_jump28" 3.05 0.73109243697479 NA 0.99 NA NA 0.444444444444444 0 1 0 -0.451874267459215 NA -0.0144995696951151 -1.16992500144231
"Flavobacteriale_jump29" 7.73 NA NA 0.82 NA NA NA 0 1 0 NA NA -0.286304185156641 NA
"Flavobacteriale_jump30" 2.56 NA NA 0.76 NA NA NA 0 1 0 NA NA -0.395928676331139 NA
"Flavobacteriale_jump31" 4.66 NA NA 1.19 NA NA NA 2 1 0 NA NA 0.250961573533219 NA
"Flavobacteriale_jump32" 5.18 0.788321167883212 0.548387096774194 0.96 5 5 1.1875 -2 1 0 -0.343144580797058 -0.866733469136536 -0.0588936890535686 0.247927513443585
"Flavobacteriale_jump33" -3.72 NA NA 0.84 NA NA NA 1 -1 0 NA NA -0.251538766995965 NA
"Flavobacteriale_jump34" 8.83000000000001 0.495238095238095 NA 0.89 -21 -27 0.8 5 1 0 -1.01380579952503 NA -0.168122758808327 -0.321928094887362
"Flavobacteriale_jump35" -10.73 0.351851851851852 NA 1.02 NA NA 10.2380952380952 3 -1 0 -1.50695998871988 NA 0.0285691521967709 3.3558754268107
"Flavobacteriale_jump36" 9.47 1.1 0.666666666666667 0.74 -33 -37 0.166666666666667 2.91 1 0 0.137503523749935 -0.584962500721156 -0.434402824145775 -2.58496250072116
"Flavobacteriale_jump37" 6.42 0.636363636363636 NA 1.1 18 32 2.5 -1 1 0 -0.652076696579693 NA 0.137503523749935 1.32192809488736
"Flavobacteriale_jump38" -4.82 1 1.69230769230769 0.95 -19 -23 2.1 2 -1 0 0 0.758991900496205 -0.0740005814437769 1.0703893278914
"Flavobacteriale_jump39" 3.14 NA NA 0.76 NA NA NA 1 1 0 NA NA -0.395928676331139 NA
"Flavobacteriale_jump40" -4.14 0.875 1.11538461538462 1.08 -1 -2 1.375 0 -1 0 -0.192645077942396 0.15754127698648 0.111031312388744 0.459431618637297
"Flavobacteriale_jump41" 3.64 0.987341772151899 4.125 1.06 -3 -4 1.2 0 1 0 -0.0183785293148545 2.04439411935845 0.0840642647884745 0.263034405833794
"Flavobacteriale_jump42" 3.68 0.837209302325581 2.06060606060606 0.91 28 34 NA -3 1 0 -0.256339753259786 1.04306872189189 -0.136061549576028 NA
"Flavobacteriale_jump43" 6.97 0.534883720930233 NA 1.09 NA NA 1.66666666666667 -2 1 0 -0.902702798645085 NA 0.124328135002202 0.736965594166206
"Flavobacteriale_jump44" -2.5 1.60526315789474 0.452380952380952 0.92 -31 -29 0.551724137931034 5 -1 0 0.682809824119301 -1.14438990933518 -0.120294233717712 -0.857980995127572
"Flavobacteriale_jump45" 11.73 0.928571428571428 NA 1.06 1 1 3.88888888888889 -2 1 0 -0.106915203916512 NA 0.0840642647884745 1.95935801550265
"Flavobacteriale_jump46" 5.85 NA NA 0.96 NA NA NA -8 1 0 NA NA -0.0588936890535686 NA
"Flavobacteriale_jump47" 8.06 0.597560975609756 0.636363636363636 1.33 5 6 1.0952380952381 0 1 0 -0.742842160502876 -0.652076696579693 0.411426245726465 0.131244533278252
"Flavobacteriale_jump48" 5.70999999999999 0.517241379310345 1.62068965517241 1 19 27 0.785714285714286 -3 1 0 -0.951090399519053 0.696607856550065 0 -0.347923303420307
"Flavobacteriale_jump49" 6.96 0.98 0.555555555555556 0.81 -13 -15 0.5625 2.73999999999999 1 0 -0.0291463456595165 -0.84799690655495 -0.3040061868901 -0.830074998557688
"Flavobacteriale_jump50" 3.12 NA NA 1.11 NA NA NA 5 1 0 NA NA 0.150559676575381 NA
"Flavobacteriale_jump51" 1.95 0.912621359223301 0.0909090909090909 0.88 2 2 2.36363636363636 0 1 0 -0.131911675505581 -3.4594316186373 -0.184424571137427 1.24100809950379
"Flavobacteriale_jump52" 7.55 0.946808510638298 NA 1.01 -10 -11 0.684210526315789 2 1 0 -0.0788554207112395 NA 0.0143552929770701 -0.547487795302493
"Flavobacteriale_jump53" 3.62 0.955056179775281 NA 1.02 NA NA NA -3 1 0 -0.066342494828696 NA 0.0285691521967709 NA
"Flavobacteriale_jump54" 7.94 NA NA 1.21 NA NA 1 -1 1 0 NA NA 0.27500704749987 0
"Flavobacteriale_jump55" 4.19 0.865671641791045 3.6 1.01 -7 -8 0.647058823529412 1 1 0 -0.208108195330201 1.84799690655495 0.0143552929770701 -0.628031222613042
"Flavobacteriale_jump56" -4.48 0.842696629213483 NA 0.75 3 4 0.117647058823529 1 -1 0 -0.246914740470517 NA -0.415037499278844 -3.08746284125034
"Flavobacteriale_jump57" 5.87 0.792207792207792 1.375 0.94 -7 -9 0.789473684210526 -5 1 0 -0.336049203132015 0.459431618637297 -0.0892673380970874 -0.341036917835067
"Flavobacteriale_jump58" 5.87 NA NA 1.02 NA NA NA 5 1 0 NA NA 0.0285691521967709 NA
"Flavobacteriale_jump59" 3.33 1.01492537313433 NA 0.93 -25 -25 0.454545454545455 3 1 0 0.021373650792567 NA -0.104697378666693 -1.13750352374993
"Flavobacteriale_jump60" 4.66 0.805194805194805 0.853658536585366 0.93 1 1 1.29411764705882 0 1 0 -0.312590230308026 -0.228268987673117 -0.104697378666693 0.371968777386958
"Flavobacteriale_jump61" 2.98 0.87012987012987 NA 0.92 -15 -15 NA 0 1 0 -0.200697350237129 NA -0.120294233717712 NA
"Flavobacteriale_jump62" 5.07 0.931818181818182 NA 1.23 -11 -15 NA 2 1 0 -0.101879614019214 NA 0.298658315564515 NA
"Flavobacteriale_jump63" -3.77 0.884057971014493 NA 1.02 2 3 0.764705882352941 0 -1 0 -0.177787119215283 NA 0.0285691521967709 -0.387023123109247
"Flavobacteriale_jump64" 4.52 1.09090909090909 1.77777777777778 0.99 -1 -1 0.131147540983607 0 1 0 0.125530882083859 0.830074998557688 -0.0144995696951151 -2.93073733756289
"Flavobacteriale_jump65" 5.01000000000001 1.09090909090909 0.336283185840708 1.04 -4 -5 0.823529411764706 1 1 0 0.125530882083859 -1.5722514489716 0.0565835283663675 -0.280107919192735
"Flavobacteriale_jump66" 3.05 0.986301369863014 0.666666666666667 0.75 0 0 0.272727272727273 -1 1 0 -0.0198995574377049 -0.584962500721156 -0.415037499278844 -1.87446911791614
"Flavobacteriale_jump67" -4.04 NA NA 1 NA NA NA -3 -1 0 NA NA 0 NA
"Flavobacteriale_jump68" 6.55 NA NA 0.8 NA NA NA -1 1 0 NA NA -0.321928094887362 NA
"Flavobacteriale_jump69" 7.86 NA NA 0.86 NA NA NA 4 1 0 NA NA -0.217591435072627 NA
"Flavobacteriale_jump70" 4.99 0.585365853658537 5.8 0.66 6 7 0.444444444444444 -8 1 0 -0.772589503896928 2.53605290024021 -0.599462070416271 -1.16992500144231
"Flavobacteriale_jump71" 9.44 NA NA 0.57 NA NA NA -2 1 0 NA NA -0.810966175609983 NA
"Flavobacteriale_jump72" 5.72 0.924242424242424 NA 1.01 25 40 3.36363636363636 -2 1 0 -0.113656781795567 NA 0.0143552929770701 1.75002174699165
"Flavobacteriale_jump73" -2.51 NA NA 0.88 NA NA NA 8 -1 0 NA NA -0.184424571137427 NA
"Pseudomonadale_jump1" -13.77 NA NA 0.87 NA NA NA -3 -1 0 NA NA -0.200912693925996 NA
"Pseudomonadale_jump2" 9.73 NA NA 1.11 NA NA NA -1 1 0 NA NA 0.150559676575381 NA
"Pseudomonadale_jump3" -5.63 1.20833333333333 0.333333333333333 0.91 -9 -8 0.882352941176471 0 -1 0 0.273018494406416 -1.58496250072116 -0.136061549576028 -0.180572245641821
"Pseudomonadale_jump4" -9.77 0.981132075471698 NA 0.8 -3 -3 0.7 0 -1 0 -0.027480736422107 NA -0.321928094887362 -0.514573172829758
"Pseudomonadale_jump5" 11.67 NA NA 1.37 NA NA NA 1.23 1 0 NA NA 0.454175893185802 NA
"Pseudomonadale_jump6" -11.02 NA NA 0.81 NA NA NA 8 -1 0 NA NA -0.3040061868901 NA
"Pseudomonadale_jump7" -11.39 NA NA 0.61 NA NA NA 2 -1 0 NA NA -0.713118852211838 NA
"Pseudomonadale_jump8" -10.88 1.72727272727273 2.1875 1.17 12 11 1.54545454545455 -5 -1 0 0.788495894806288 1.12928301694497 0.22650852980868 0.628031222613042
"Pseudomonadale_jump9" -13.45 1.73529411764706 2.66666666666667 0.54 -12 -12 0.833333333333333 -0.399999999999991 -1 0 0.795180208111502 1.41503749927884 -0.888968687611256 -0.263034405833794
"Pseudomonadale_jump10" -11.93 4.71428571428571 NA 0.73 -23 -27 1.53658536585366 1 -1 0 2.23703919730085 NA -0.454031630894707 0.619727918881833
"Pseudomonadale_jump11" -10.71 1.06493506493506 1 1.09 -2 -2 3.92857142857143 -2 -1 0 0.0907654639231822 0 0.124328135002202 1.97400479146706
"Pseudomonadale_jump12" -6.46 1.03409090909091 1.86666666666667 0.87 -12 -12 1.07692307692308 1 -1 0 0.0483630215613991 0.900464326449086 -0.200912693925996 0.106915203916512
"Pseudomonadale_jump13" -3.64 0.926829268292683 NA 0.68 3 3 0.459459459459459 2 -1 0 -0.109624491174498 NA -0.556393348524385 -1.12199052437861
"Enterobacterales_jump1" 12.87 NA 2.25 0.92 NA NA NA 6 1 0 NA 1.16992500144231 -0.120294233717712 NA
"Enterobacterales_jump2" 13.46 NA NA 1.37 NA NA NA 1 1 0 NA NA 0.454175893185802 NA
"Enterobacterales_jump3" -11.98 1.91803278688525 NA 1.14 58 43 3.85714285714286 -16 -1 0 0.939627382020518 NA 0.189033824390017 1.94753258010586
"Enterobacterales_jump4" 13.47 0.95 1.14285714285714 0.9 -19 -17 0.275862068965517 2.3 1 0 -0.0740005814437769 0.192645077942396 -0.15200309344505 -1.85798099512757
"Enterobacterales_jump5" 16.19 0.831858407079646 0.375 0.95 -19 -20 0.619047619047619 1.91 1 0 -0.26559011073755 -1.41503749927884 -0.0740005814437769 -0.691877704637668
"Enterobacterales_jump6" -7.3 0.99236641221374 NA 0.83 11 14 0.766666666666667 -1 -1 0 -0.0110551885089958 NA -0.2688167584278 -0.383328639551506
"Enterobacterales_jump7" 6.83 0.790123456790123 0.25 0.95 -3 -3 0.757575757575758 1 1 0 -0.339850002884625 -2 -0.0740005814437769 -0.400537929583729
"Enterobacterales_jump8" 10.15 1.00869565217391 0.75609756097561 1.54 -7 -5 1.31818181818182 2 1 0 0.0124909441831968 -0.403355694231209 0.622930350920177 0.398549376490275
"Enterobacterales_jump9" 6.81 1.01612903225806 0.0816326530612245 1.04 -8 -8 0.433333333333333 0 1 0 0.0230836131130412 -3.61470984411521 0.0565835283663675 -1.20645087746743
"Enterobacterales_jump10" 8.61 1.05747126436782 1.82142857142857 0.77 -3 -3 1.31578947368421 -2 1 0 0.0806184602082846 0.865070419913891 -0.377069649079823 0.395928676331139
"Enterobacterales_jump11" 8.29 0.697674418604651 NA 0.87 -18 -15 0.485714285714286 3 1 0 -0.519374159093579 NA -0.200912693925996 -1.04182017569463
"Enterobacterales_jump12" -22.56 0.2 7.53846153846154 0.19 128 104 0.707317073170732 2 -1 1 -2.32192809488736 2.91427012597412 -2.39592867633114 -0.499571009490511
"Enterobacterales_jump13" -7.23 1.09230769230769 NA 0.67 88 68 NA -26 -1 1 0.127379306476227 NA -0.577766999316952 NA
"Enterobacterales_jump14" -10.06 0.424242424242424 NA 0.6 NA NA 0.33806146572104 -16 -1 1 -1.23703919730085 NA -0.736965594166206 -1.56464251634156
"Enterobacterales_jump16" 6.32 0.87378640776699 NA 1.14 -20 -16 0.875 2 1 0 -0.194647430853544 NA 0.189033824390017 -0.192645077942396
"Enterobacterales_jump17" -7.83 0.376811594202899 NA 0.69 22 23 3.6 -6 -1 1 -1.40808473863708 NA -0.535331732996556 1.84799690655495
"Enterobacterales_jump18" 11.39 NA NA 1.08 NA NA NA 2 1 0 NA NA 0.111031312388744 NA
"Betaproteo_jump1" -9.88 NA NA 0.85 NA NA NA -15 -1 0 NA NA -0.234465253637023 NA
"Betaproteo_jump2" -17.65 NA NA 1.14 NA NA NA 4 -1 0 NA NA 0.189033824390017 NA
"Betaproteo_jump3" -38.71 0.0588235294117647 2.16666666666667 0.24 -26 -27 0.482758620689655 -1.45 -1 1 -4.08746284125034 1.11547721741994 -2.05889368905357 -1.05062607306997
"Betaproteo_jump4" -19.84 NA NA 0.77 NA NA NA -3.13000000000001 -1 0 NA NA -0.377069649079823 NA
"Betaproteo_jump5" -4.19 NA NA 0.43 NA NA NA -13 -1 0 NA NA -1.21759143507263 NA
"Betaproteo_jump6" -19.83 1.51666666666667 3 0.3 -61 -59 0.315789473684211 5.32000000000001 -1 0 0.600904044590178 1.58496250072116 -1.73696559416621 -1.66296501272243
"Betaproteo_jump7" -10.89 1.52941176470588 NA 0.62 13 21 0.952380952380952 -5 -1 0 0.612976876890753 NA -0.689659879387849 -0.070389327891398
"Betaproteo_jump8" -6.73 1.23684210526316 NA 0.86 -23 -34 0.25 2 -1 0 0.306661338234052 NA -0.217591435072627 -2
"Betaproteo_jump9" 16.31 0.666666666666667 NA 2.23 NA NA 1.15384615384615 -4 1 0 -0.584962500721156 NA 1.15704371014558 0.206450877467426
"Betaproteo_jump10" -33.66 0.05 1.2 0.21 -27 -34 0.772727272727273 -0.709999999999994 -1 1 -4.32192809488736 0.263034405833794 -2.25153876699596 -0.371968777386958
