focal_clade gene_set eqGC3_root eqGC3_focal eqGC3_sister actGC3_focal actGC3_sister omega_focal omega_sister dS_focal dS_sister dN_focal dN_sister eqDirectionA eqDirectionB eqDirectionC dS_focal_max dS_other_max dS_max 
Altererythrobacter1 HEG 0.81 0.53 0.73 0.669265756985055 0.775178687459389 0.019480080124 0.031541748535 1.38819 0.641597 0.0270371 0.0194682 -1 -1 -1 1.38819 1.07115 1.5193 
Edwardsiella HEG 0.57 0.71 0.4 0.657249755991758 0.518381954234899 0.033406656722 0.034325837891 1.2788255 0.909052 0.04331405 0.0342346 1 1 1 0.909168 1.12604E-06 1.71536 
Lemonirella HEG 0.57 0.68 0.4 0.618588005639302 0.445721722155948 0.018323259074 0.034325837891 1.71536 1.097811 0.0314324 0.0344527 1 1 1 1.71536 1.12604E-06 1.71536 
Pseudoalteromonas HEG 0.39 0.54 0.33 0.456011885811313 0.367505040857476 0.023785969646 0.024222337546 1.49027 1.763009 0.0354358 0.04326361 1 1 1 1.49027 0.779417 1.82302 
Endolissoclinum HEG 0.83 0.26 0.88 0.322088132999348 0.889730038565919 0.057768996836 0.033544128261 2.1964465 0.275069 0.11436335 0.00948074 -1 -1 -1 1.71971 0.0073949 1.93847 
Beijerinckia HEG 0.7 0.67 0.81 0.69753403544824 0.799255073208323 0.015113912102 0.016289466898 2.7094035 2.713635 0.04385315 0.045913835 -1 -1 -1 1.55829 1.81767 2.24722 
Pseudomonas_luteola HEG 0.79 0.44 0.76 0.580558858501784 0.791121680539041 0.011123190217 0.034674440462 2.33396 0.764273 0.0259582 0.0262693 -1 -1 -1 2.33396 -Inf 2.33396 
Capnocytophaga HEG 0.4 0.49 0.26 0.46417305092384 0.337163887637074 0.015330135823 0.010807027639 1.95535 2.82232 0.0299908 0.03208395 1 1 1 1.95535 2.30358 2.55933 
Altibacter HEG 0.32 0.46 0.29 0.413607976333954 0.280705598772872 0.010218238344 0.016470046464 2.7779 2.24687 0.0283788 0.0350923 1 1 1 2.7779 2.15588 2.7779 
g68-8 HEG 0.86 0.94 0.78 0.927359271523179 0.858236754966887 0.021277264791 0.022990216446 2.90703 2.9223 0.0618449 0.0694012 1 1 1 2.90703 3.01296 3.01296 
Flavo_akia HEG 0.35 0.45 0.34 0.422279792746114 0.351360103626943 0.021885350898 0.022710669379 1.99768 1.361298 0.0437212 0.03326303 1 1 1 1.99768 0.353538 3.02927 
Flavo_sp HEG 0.35 0.19 0.34 0.237262521588946 0.324913644214162 0.014310361158 0.022710669379 3.02927 1.20403 0.0433524 0.0276541 -1 -1 -1 3.02927 0.353538 3.02927 
Deefgea HEG 0.77 0.36 0.6 0.431324514127062 0.506941041972889 0.017441954244 0.039178984111 3.27046 1.16893 0.0570374 0.0396618 -1 -1 -1 3.27046 0.103073 3.6142 
B9-8 HEG 0.77 0.38 0.6 0.472154172791115 0.630409929772987 0.02132968461 0.039178984111 3.6142 1.642474 0.0770915 0.0652748 -1 -1 -1 3.6142 0.103073 3.6142 
Mangrovimonas HEG 0.27 0.38 0.25 0.338723614368596 0.281940501172695 0.010678651337 0.011045126495 3.71576 3.27677 0.0396807 0.0319671 1 1 1 3.71576 3.71576 3.71576 
Polaribacter_irgensii HEG 0.22 0.29 0.13 0.249973224804541 0.17339616579201 0.015350060042 0.012313726272 2.26113 0.940421999999999 0.0347096 0.0139131 1 1 1 2.26113 4.3085 4.3085 
Polaribacter_sp HEG 0.22 0.2 0.13 0.205633501124558 0.166541715754525 0.007561286986 0.012313726272 4.3085 4.067779 0.0325679 0.04917744 -1 1 1 4.3085 4.3085 4.3085 
Pleomorphomonas HEG 0.92 0.66 0.88 0.832535885167464 0.899143792495593 0.017931438571 0.015439659248 0.799025 0.761661 0.014326 0.0135494 -1 -1 -1 0.799025 4.6647 4.6647 1.16138823292507
Hirschia HEG 0.74 0.33 0.69 0.391841700819672 0.735271516393443 0.017137600241 0.031341297619 6.3614555 3.876813 0.1100755 0.12968261 -1 -1 -1 5.31829 5.31829 5.31829 
Flavo_caeni1 HEG 0.34 0.39 0.24 0.370591157476403 0.271174863387978 0.018597220723 0.017482934783 1.263704 2.3404045 0.02349719 0.041485275 1 1 1 5.47487 0.27527 5.47487 
Flavo_caeni2 HEG 0.34 0.65 0.24 0.565201192250373 0.271174863387978 0.006951272129 0.017482934783 5.75014 2.3404045 0.04306189 0.041485275 1 1 1 5.47487 0.27527 5.47487 
Lutibacter HEG 0.24 0.28 0.13 0.249209761031736 0.166519155392591 0.012134127409 0.00429537206 3.24618 5.77194 0.0393909 0.0254413 1 1 1 3.24618 5.77194 5.77194 
Fulvimarina HEG 0.88 0.74 0.85 0.809508160806222 0.873151495234965 0.012027129833 0.013264264405 5.89903 2.3703 0.0709545 0.0311011 -1 -1 -1 5.89903 5.89903 5.89903 
Pseudorhodobacter HEG 0.73 0.43 0.8 0.499926221041759 0.823446952929025 0.010825155445 0.028449534722 6.458086 1.708547 0.07573461 0.04654175 -1 -1 -1 6.2396 0.119937 6.2396 
Woodsholea HEG 0.77 0.54 0.76 0.603619236489836 0.787121963311849 0.006719052425 0.016263035842 9.17563 4.158462 0.0616452 0.0665109 -1 -1 -1 9.17563 9.85093 9.85093 
Hellea HEG 0.77 0.47 0.76 0.525099157164105 0.776772434308379 0.008669927933 0.016263035842 15.79496 8.15015 0.13795205 0.1340705 -1 -1 -1 9.85093 9.85093 9.85093 
Aquimarina HEG 0.27 0.29 0.2 0.274250316767563 0.219062368013515 0.008387209667 0.007263522981 2.94506 3.760317 0.0247099 0.03038278 1 1 1 2.94506 10.1803 10.1803 
Nitrosospira HEG 0.84 0.79 0.38 0.803704690831556 0.620402452025586 0.009280086719 0.006700479624 5.24701 4.497971 0.0486807 0.04003099 -1 1 1 5.24701 8.86461 13.9912 
Mesonia HEG 0.31 0.14 0.26 0.199731723675386 0.252179745137492 0.00561468998 0.004777466798 2.99875 2.16083 0.0168328 0.0115572 -1 -1 -1 2.99875 NA 16.593 
Pseudozobellia HEG 0.4 0.63 0.36 0.57171736619176 0.343569503273007 0.004632345699 0.00501272081 8.04781 15.2614 0.037276 0.0791639 1 1 1 8.04781 NA 18.0605 
Pricia HEG 0.4 0.53 0.36 0.516172506738544 0.343569503273007 0.004209276979 0.00501272081 17.7638 15.833144 0.0747616 0.08256067 1 1 1 17.7638 NA 18.0605 
Maribacter HEG 0.4 0.28 0.36 0.277916827108202 0.421832884097035 0.003972324236 0.00501272081 15.46269 6.89838 0.0598343 0.036056 -1 -1 -1 18.0605 NA 18.0605 
Sinomicrobium HEG 0.33 0.46 0.25 0.446844701479844 0.29290695696547 0.00142331585 0.001963184758 36.5877 30.65821 0.0520232 0.06113415 1 1 1 36.5877 NA 36.5877 
Nonlabens HEG 0.38 0.32 0.21 0.334948155702873 0.25395206527282 0.001922864313 0.001 30.04003 56.61451 0.0574106 0.056613 -1 1 1 19.2524 NA 64.9527 
Ruminobacter HEG 0.5 0.17 0.38 NA NA 0.001258105862 0.004157598436 97.2574 29.7508 0.122281 0.125081 -1 -1 NA 97.2574 NA 97.2574 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
Sodalis1 nonHEG 0.7 0.36 0.6 0.601468882875918 0.69649241472606 0.160514979671 0.044176812657 0.195253 0.0558405 0.0313412 0.00318012 -1 -1 -1 0.195253 -Inf 0.474017 
Sodalis2 nonHEG 0.7 0.3 0.6 0.472946859903382 0.678840579710145 0.160819772221 0.044176812657 0.474017 0.0457042 0.0762317 0.00483782 -1 -1 -1 0.474017 -Inf 0.474017 
Pseud_agarici nonHEG 0.87 0.62 0.73 0.773112702724953 0.834444718860624 0.112176624212 0.050409792308 0.360474 0.136549 0.0404363 0.00625149 -1 -1 -1 0.360474 -Inf 0.53473 
Bartonella nonHEG 0.16 0.44 0.34 0.346006811705011 0.227358031556266 0.088955608986 0.088717172686 0.82411 0.684761 0.0733199 0.0620451 1 1 1 0.82411 0.00312857 1.0454 
Chryseobacterium_greg nonHEG 0.32 0.54 0.37 0.461438635520949 0.310391175380052 0.052003509013 0.039901929915 1.081032 0.833221 0.05534075 0.03598019 1 1 1 0.650615 0.0301908 1.46271 
Paracoccus nonHEG 0.91 0.64 0.86 0.761397405233022 0.893020221787345 0.034565833041 0.059467909084 1.22652 0.42234105 0.0423998 0.024492855 -1 -1 -1 1.22652 1.52024E-06 1.50951 
Prevotella nonHEG 0.65 0.64 0.33 0.664971202034558 0.396888323734012 0.063802936231 0.0426461717 0.8557805 1.2374978 0.053121 0.04919598 -1 1 1 0.498432 1.94031 1.94031 
Hoeflea nonHEG 0.85 0.88 0.67 0.870911742240122 0.758454274008749 0.026958375206 0.03820719941 2.079148 1.479968 0.0573083 0.06151015 1 1 1 1.61937 2.08876 2.08876 
Endolissoclinum nonHEG 0.93 0.27 0.8 0.320826480263158 0.913103070175439 0.058848817707 0.065603670886 2.531022 0.24322 0.13780545 0.0166255 -1 -1 -1 2.16834 1.65321 2.16834 
Pseud_E nonHEG 0.93 0.56 0.76 0.672533333333333 0.865523809523809 0.037784822476 0.042902255708 2.29716 1.273198 0.0868029 0.06808267 -1 -1 -1 2.29716 -Inf 2.29716 
Ruegeria nonHEG 0.83 0.61 0.78 0.682643031168613 0.804755103755356 0.023078079231 0.029008644945 2.836379 1.4287 0.06403922 0.0414927 -1 -1 -1 2.49294 0.0472533 2.49294 
Muricauda nonHEG 0.53 0.57 0.41 0.561622004485893 0.425982764726715 0.018070380302 0.020567905463 2.81552 3.765537 0.0508852 0.0763462 1 1 1 2.81552 1.29185 3.28085 
Vibrio nonHEG 0.47 0.62 0.43 0.576861680900311 0.405698778833107 0.029860209415 0.030478183762 1.902647 2.45011 0.0573246 0.0716595 1 1 1 1.16782 3.37977 3.37977 
Allorhizobium nonHEG 0.78 0.59 0.74 0.645433735890757 0.731549451416844 0.017507662061 0.022644658898 3.93074 2.496179 0.0688092 0.0539243 -1 -1 -1 3.93074 3.20813 3.93074 
Beijerinckia nonHEG 0.68 0.69 0.79 0.696778406617327 0.792860252503265 0.027480888906 0.02628609506 5.48992 4.615753 0.15391925 0.12260425 1 -1 -1 3.08471 4.00775 4.00775 
Ochrobactrum nonHEG 0.8 0.51 0.67 0.572909192378219 0.676712110340429 0.022999460169 0.034281452661 2.3456845 1.1270445 0.05706165 0.0333403 -1 -1 -1 1.42605 4.02336 4.02336 
g68-8 nonHEG 0.9 0.94 0.81 0.942924086223055 0.874882849109653 0.030697098105 0.024387888059 3.77587 3.65389 0.115915 0.092057 1 1 1 3.77587 4.49131 4.49131 
Novosphingobium nonHEG 0.89 0.63 0.8 0.710450623202301 0.827380952380952 0.010166869766 0.012492092033 5.01376 3.73875 0.05094 0.0439177 -1 -1 -1 5.01376 5.04975 5.04975 
Erythrobacter2 nonHEG 0.91 0.6 0.74 0.66318578553616 0.752259975062344 0.013960398136 0.025397507611 4.97745 2.19281 0.0694877 0.0514993 -1 -1 -1 4.97745 5.38618 5.38618 
Erythrobacter1 nonHEG 0.91 0.57 0.74 0.64409289276808 0.762780548628429 0.015748278577 0.025397507611 5.38618 2.9182505 0.0848144 0.0721523 -1 -1 -1 5.38618 1.59735 5.38618 
Altererythrobacter1 nonHEG 0.81 0.59 0.73 0.641028037383178 0.742897196261682 0.013452190065 0.021908225867 7.08605 1.76425 0.0953141 0.0378622 -1 -1 -1 7.08605 3.73939 7.08605 
Microbulbifer nonHEG 0.88 0.5 0.7 0.57207498383969 0.767655138978668 0.01979559526 0.023295105607 7.10243 1.8539605 0.140607 0.04499935 -1 -1 -1 7.10243 3.37453 7.10243 
Nitratireductor nonHEG 0.84 0.86 0.71 0.85986341875528 0.764714165023937 0.017294353538 0.019054776611 3.10609 3.52208 0.0535498 0.0679522 1 1 1 1.71444 2.87679 7.31065 
Nitrosospira nonHEG 0.82 0.83 0.49 0.837622005323869 0.660401710091151 0.013952344732 0.014268942342 6.21297 5.4044 0.0866926 0.0825408 1 1 1 6.21297 6.63268 7.81481 
Pleomorphomonas nonHEG 0.96 0.72 0.9 0.796955434622739 0.906530372113546 0.00934201327 0.02297819488 4.11543 1.62854 0.0384407 0.039614 -1 -1 -1 4.11543 NA 7.85521 
Pseudovibrio nonHEG 0.65 0.44 0.53 0.466373626373626 0.585846153846154 0.01664780917 0.019487907837 9.01205 7.68242 0.150035 0.15025 -1 -1 -1 9.01205 9.01205 9.01205 
Woodsholea nonHEG 0.75 0.61 0.79 0.642518133787051 0.793991224142563 0.011617788303 0.020173440196 7.73567 5.710785 0.0898619 0.1146684 -1 -1 -1 7.73567 9.02491 9.02491 
Hellea nonHEG 0.75 0.52 0.79 0.552834243753918 0.792424106743082 0.012718976678 0.020173440196 16.216275 8.41214 0.2077635 0.1716012 -1 -1 -1 9.02491 9.02491 9.02491 
Fulvimarina nonHEG 0.87 0.74 0.88 0.775213876461816 0.892080684404678 0.011519592365 0.013937534016 11.6391 7.2841 0.134089 0.103639 -1 -1 -1 11.6391 11.6391 11.6391 
Methylotenera nonHEG 0.54 0.6 0.38 0.595412551768079 0.42601146862058 0.010349952302 0.010447065579 7.93057 9.064325 0.0820551 0.0945936 1 1 1 7.93057 NA 11.6811 
Pseudorhodobacter nonHEG 0.76 0.48 0.81 0.524346208556735 0.842433526644053 0.01518194872 0.027841663698 12.355105 2.563398 0.1935428 0.0729449 -1 -1 -1 12.0028 1.22377 12.0028 
Edwardsiella nonHEG 0.7 0.74 0.44 0.748131197559115 0.539893211289092 0.009239265134 0.006813481012 8.71168 6.60734 0.08139975 0.0451793 1 1 1 5.64491 12.2696 12.2696 
Lemonirella nonHEG 0.7 0.71 0.44 0.692906178489702 0.4720823798627 0.005792471994 0.006813481012 10.0207 7.97364 0.0580376 0.05193105 1 1 1 10.0207 12.2696 12.2696 
Flavo_akia nonHEG 0.51 0.5 0.37 0.495779403489026 0.406383149770882 0.021261324613 0.012682437247 3.95838 4.76755 0.084179 0.0674216 -1 1 1 3.95838 3.3914 14.0297 
Flavo_sp nonHEG 0.51 0.2 0.37 0.240694589597234 0.360398745879894 0.005518814172 0.012682437247 14.0297 4.15081 0.0774266 0.0515423 -1 -1 -1 14.0297 3.07107 14.0297 
Deefgea nonHEG 0.86 0.46 0.76 0.518686044787187 0.658979682633843 0.00591780929 0.01811774561 14.0734 4.31464 0.0832792 0.0721992 -1 -1 -1 14.0734 NA 17.2091 
B9-8 nonHEG 0.86 0.45 0.76 0.512309061248702 0.775470858668249 0.007394080166 0.01811774561 17.2091 6.98289 0.127249 0.1292187 -1 -1 -1 17.2091 5.0328 17.2091 
Pseudomonas_luteola nonHEG 0.94 0.57 0.82 0.624122367101304 0.849715814108994 0.003425079132 0.029493715524 22.5168 3.07444 0.0771087 0.0890275 -1 -1 -1 22.5168 3.07444 22.5168 
Pseudoalteromonas nonHEG 0.44 0.54 0.37 0.53480126889345 0.380854637059153 0.00512637215 0.004469522867 17.5897 22.77758 0.0901751 0.1025903 1 1 1 17.5897 NA 24.5835 
Hirschia nonHEG 0.7 0.38 0.72 0.404082422366257 0.728160975137854 0.005641520652 0.01727473118 32.71291 9.945858 0.18721575 0.17875992 -1 -1 -1 25.0568 25.0568 25.0568 
Capnocytophaga nonHEG 0.47 0.52 0.31 0.516947345981667 0.377105094862503 0.003806197888 0.002554003901 23.2743 32.29175 0.0885819 0.08439235 1 1 1 23.2743 NA 30.3876 
Polaribacter_sp nonHEG 0.2 0.31 0.17 0.24049310488926 0.171298230951386 0.001 0.003956079421 18.8463 50.36284 0.0178063 0.19681433 1 1 1 18.8463 NA 31.067 
Polaribacter_irgensii nonHEG 0.2 0.3 0.17 0.289037470399777 0.189511073965733 0.003664954971 0.003956079421 28.683 18.3929 0.105111 0.075422 1 1 1 28.683 NA 31.067 
Flavo_fluvii nonHEG 0.35 0.52 0.29 0.392229230975708 0.295597906321299 0.001 0.002631319572 14.3028 61.959415 0.013619 0.16692835 1 1 1 14.3028 NA 35.1064 
Mangrovimonas nonHEG 0.33 0.41 0.29 0.403846153846154 0.328737300435414 0.002982781765 0.002702502128 28.2762 35.7576 0.0842721 0.0940873 1 1 1 28.2762 NA 35.7576 
Altibacter nonHEG 0.34 0.45 0.32 0.448337701751966 0.285349703407367 0.001790744015 0.0028254518 46.203 31.6185 0.0826711 0.0873691 1 1 1 46.203 NA 46.203 
Mesonia nonHEG 0.3 0.17 0.32 0.198233641107989 0.298354074668808 0.001542344727 0.002346379304 36.6083 20.7478 0.0564089 0.0493625 -1 -1 -1 36.6083 NA 49.202 
Flavo_caeni1 nonHEG 0.38 0.45 0.31 0.444398132710904 0.315146715571857 0.003978771729 0.002890351485 21.75927 33.1644614428 0.0865692 0.09566585413428 1 1 1 52.9334 NA 52.9334 
Flavo_caeni2 nonHEG 0.38 0.68 0.31 0.659136378792931 0.315146715571857 0.001562926187 0.002890351485 61.11767 33.1644614428 0.1151657 0.09566585413428 1 1 1 52.9334 NA 52.9334 
Lutibacter nonHEG 0.25 0.34 0.15 0.329041487839771 0.16173104434907 0.001468885203 0.001099780676 44.2387 44.6802 0.0648924 0.0492095 1 1 1 44.2387 NA 58.5174 
Aquimarina nonHEG 0.26 0.32 0.22 0.310305079535849 0.223238300161377 0.002075805982 0.002656748225 31.1731 28.05839 0.0646489 0.07806331 1 1 1 31.1731 NA 71.5394 
Pseudozobellia nonHEG 0.39 0.64 0.36 0.616987497519349 0.335450155454124 0.001069695166 0.001516252512 56.9627 37.9928 0.0612766 0.05669 1 1 1 56.9627 NA 78.6106 
Pricia nonHEG 0.39 0.53 0.36 0.526228749090428 0.335450155454124 0.001468044606 0.001516252512 62.603 46.00759 0.091678 0.0692143 1 1 1 62.603 NA 78.6106 
Maribacter nonHEG 0.39 0.28 0.36 0.262221340213005 0.390289078520871 0.001228413528 0.001516252512 68.31028 42.1463 0.08283317 0.06326 -1 -1 -1 78.6106 NA 78.6106 
Sinomicrobium nonHEG 0.33 0.53 0.27 0.523664749383731 0.317912900575185 0.001510338946 0.001366512599 66.4157 70.36066 0.10022 0.095665 1 1 1 66.4157 NA 80.495 
Nonlabens nonHEG 0.35 0.39 0.24 0.394003948872493 0.261145173022966 0.001201935111 0.001100073975 101.83655 91.28195 0.12233345 0.10082305 1 1 1 55.6565 NA 120.639 
Ruminobacter nonHEG 0.56 0.17 0.42 NA NA 0.001 0.009783543944 203.725 17.5773 0.201617 0.172133 -1 -1 NA 203.725 NA 203.725 
