"parent_clade" "dataset_name" "mrca_str" "prune_threshold" "model_nodes"
"Pseud_E" "Pseud_E" "Pseudomonas_E" "s__Pseudomonas_E mendocina_A|s__Pseudomonas_E punonensis" "0.015" "list(c(0:4,6:(node_id-1)), 5)"
"Pseud_agarici" "Pseud_agarici" "Pseud_agarici" "s__Pseudomonas_E agarici|s__Pseudomonas_E batumici" "0.0" "list(c(0:2,4:(node_id-1)),3)"
"Ruminobacter" "Ruminobacter" "Ruminobacter" "g__Ruminobacter;|g__Succinimonas;" "0.0" "list(c(0:1,3:(node_id-1)), 2)"
"Pseudoalteromonas" "Pseudoalteromonas" "Pseudoalteromonas" "s__Pseudoalteromonas rubra_A|s__Pseudoalteromonas phenolica" "0.0" "list(c(0:3, 5:(node_id-1)), 4)"
"Vibrio" "Vibrio" "Vibrio" "s__Vibrio furnissii|s__Vibrio tritonius" "0.0" "list(c(0:11,15:(node_id-1)), 12:14)"
"Edwardsiella" "Edwardsiella" "Edwardsiella" "g__Leminorella;|g__Edwardsiella;" "0.0" "list(c(0, 4:5, 7:(node_id-1)), 1:3, 6)"
"Lemonirella" "Edwardsiella" "Edwardsiella" "g__Leminorella;|g__Edwardsiella;" "0.0" "list(c(0, 4:5, 7:(node_id-1)), 1:3, 6)"
"Endolissoclinum" "Endolissoclinum" "Endolissoclinum" "g__Endolissoclinum;|g__Thalassobaculum;|g__BAL199;" "0.0" "list(c(0:1,5:(node_id-1)), 2:4)"
"Sodalis1" "Sodalis" "Sodalis" "g__Sodalis;|g__Sodalis_A;" "0.0" "list(c(1:4,6:(node_id-1)), 0, 5)"
"Sodalis2" "Sodalis" "Sodalis" "g__Sodalis;|g__Sodalis_A;" "0.0" "list(c(1:4,6:(node_id-1)), 0, 5)"
"Serratia" "Serratia" "Serratia" "g__Serratia;|g__Chania;" "0.0" "list(c(0:1,3:4), 2, 5:9)"
"Caballeronia_crenata" "Caballeronia_crenata" "Caballeronia_crenata" "s__Caballeronia udeis|s__Caballeronia choica" "0.0" "list(c(0:2,4:(node_id-1)), 3)"
"Arsenophonus" "Arsenophonus" "Arsenophonus" "g__Arsenophonus;|g__Proteus;|g__Xenorhabdus;" "0.0" "list(c(0:2,4:(node_id-1)), 3)"
"Verminephrobacter" "Verminephrobacter" "Verminephrobacter" "g__Verminephrobacter;|g__Acidovorax_A;" "0.03" "list(c(0:5,9:(node_id-1)), 6:8)"
